idplayer;descCountry;idade;kills;deaths;KD
1038;br;31;49;58;0.8448
1430;br;19;1121;1327;0.8448
2628;br;16;49;58;0.8448
659;br;21;1888;2236;0.8444
2070;ar;28;1659;1965;0.8443
1606;uy;22;401;475;0.8442
1683;br;34;65;77;0.8442
1026;br;;54;64;0.8438
2398;br;26;771;914;0.8435
214;br;;435;516;0.8430
1661;br;28;311;369;0.8428
1228;br;25;300;356;0.8427
939;br;21;615;730;0.8425
2435;ar;22;16;19;0.8421
1642;br;22;1351;1605;0.8417
1180;br;;557;662;0.8414
1373;br;26;1316;1565;0.8409
1511;br;31;58;69;0.8406
1220;br;22;1988;2366;0.8402
187;ca;29;2692;3207;0.8394
2149;ar;25;1682;2006;0.8385
1158;br;47;1190;1420;0.8380
1878;ar;;62;74;0.8378
1962;ar;23;31;37;0.8378
2523;br;22;351;419;0.8377
977;br;22;1555;1857;0.8374
1274;br;;2939;3511;0.8371
527;cl;31;128;153;0.8366
2608;br;;797;953;0.8363
1449;br;;153;183;0.8361
481;cl;25;567;679;0.8351
247;br;;855;1024;0.8350
599;br;18;245;294;0.8333
641;br;25;25;30;0.8333
1635;br;17;10;12;0.8333
2553;br;24;50;60;0.8333
2159;br;17;1512;1815;0.8331
903;br;16;586;704;0.8324
1235;br;29;268;322;0.8323
2571;br;24;3854;4631;0.8322
2018;br;24;935;1124;0.8319
2543;br;;400;481;0.8316
2592;ar;20;596;717;0.8312
1604;br;;595;716;0.8310
950;br;33;986;1187;0.8307
2011;br;;49;59;0.8305
2493;br;40;2382;2869;0.8303
1193;br;29;472;569;0.8295
1231;ar;;610;736;0.8288
1431;br;21;29;35;0.8286
428;br;29;2565;3096;0.8285
808;br;25;418;505;0.8277
1709;br;21;1249;1509;0.8277
937;br;16;210;254;0.8268
387;br;21;4172;5049;0.8263
2261;br;26;1160;1404;0.8262
978;br;20;19;23;0.8261
1500;us;29;232;281;0.8256
2051;br;28;1211;1467;0.8255
1020;br;17;524;635;0.8252
1047;br;;33;40;0.8250
369;br;24;3532;4285;0.8243
836;br;31;89;108;0.8241
586;ar;28;5318;6458;0.8235
2379;br;23;14;17;0.8235
909;cl;36;4216;5124;0.8228
1201;br;27;1666;2026;0.8223
803;br;;374;455;0.8220
2626;br;18;1435;1748;0.8209
1719;br;36;1930;2352;0.8206
813;br;22;91;111;0.8198
1566;br;;382;466;0.8197
2651;br;;104;127;0.8189
